"Create at Disqus","Create at Disqus"
"Light/Dark","Light/Dark"
"Regiter AppID here","Regiter AppID here"
"The number of comments to show by default. The minimum value is 1.","The number of comments to show by default. The minimum value is 1."
"The order to use when displaying comments. Can be social, reverse_time, or time.","The order to use when displaying comments. Can be social, reverse_time, or time."
"About the Author: ","About the Author: "
"Action not found.","Action not found."
"Add Child Category","Add Child Category"
"Add Root Category","Add Root Category"
"Addthis.com Pubid Id","Addthis.com Pubid Id"
"Allow Comment","Allow Comment"
"Are you sure you want to delete this Category?","Are you sure you want to delete this Category?"
"Article Snippet","Article Snippet"
"Author","Author"
"Author Info","Author Info"
"Author Information","Author Information"
"Author Management","Author Management"
"Better Blog","Better Blog"
"Blog","Blog"
"Blog Category to delete was not found.","Blog Category to delete was not found."
"Blog category is not available.","Blog category is not available."
"Blog name","Blog name"
"Cancel","Cancel"
"Categories","Categories"
"Categories:","Categories:"
"Category","Category"
"Category Data","Category Data"
"Category Information","Category Information"
"Category information","Category information"
"Choose blog's color","Choose blog's color"
"Choose your website or organize logo.","Choose your website or organize logo."
"Collapse All","Collapse All"
"Comment","Comment"
"Comments","Comments"
"Content","Content"
"Create New Blog Category","Create New Blog Category"
"Create New Post","Create New Post"
"Create New Tag","Create New Tag"
"Create New Topic","Create New Topic"
"Dark","Dark"
"Default Comment","Default Comment"
"Delete","Delete"
"Delete ","Delete "
"Delete Category","Delete Category"
"Delete Post","Delete Post"
"Delete Tag","Delete Tag"
"Delete Topic","Delete Topic"
"Description","Description"
"Description length","Description length"
"Disable Completely","Disable Completely"
"Display Name","Display Name"
"Display author","Display author"
"Display blogs style","Display blogs style"
"Display sitemap","Display sitemap"
"Disqus Comment","Disqus Comment"
"Disqus unique name","Disqus unique name"
"Edit","Edit"
"Edit Author ","Edit Author "
"Edit Post ","Edit Post "
"Edit Tag ","Edit Tag "
"Edit Topic ","Edit Topic "
"Enable","Enable"
"Enable Monthly Archive","Enable Monthly Archive"
"Enable Product Post","Enable Product Post"
"Enable Search Box","Enable Search Box"
"Enabled","Enabled"
"Expand All","Expand All"
"Facebook","Facebook"
"Facebook Comment","Facebook Comment"
"Facebook Link","Facebook Link"
"Facebook: AppID","Facebook: AppID"
"Facebook: Color scheme","Facebook: Color scheme"
"Facebook: Number of comment","Facebook: Number of comment"
"Facebook: Order by","Facebook: Order by"
"Featured image","Featured image"
"General","General"
"Go to Home Page","Go to Home Page"
"Grid View","Grid View"
"Grid view style is better","Grid view style is better"
"Home","Home"
"ID","ID"
"ID: %1","ID: %1"
"INDEX,FOLLOW","INDEX,FOLLOW"
"INDEX,NOFOLLOW","INDEX,NOFOLLOW"
"Image","Image"
"In RSS","In RSS"
"Just now","Just now"
"Latest","Latest"
"Leave empty for no suffix. Default: .html","Leave empty for no suffix. Default: .html"
"Left","Left"
"Light","Light"
"Like","Like"
"Limit Product Post","Limit Product Post"
"Limit number of related posts in product page tab","Limit number of related posts in product page tab"
"Limit related post","Limit related post"
"List Posts from %1","List Posts from %1"
"List View","List View"
"Login","Login"
"Logo","Logo"
"Manage Categories","Manage Categories"
"Maximum Query Result","Maximum Query Result"
"Meta Description","Meta Description"
"Meta Keywords","Meta Keywords"
"Meta Robots","Meta Robots"
"Meta Title","Meta Title"
"Meta description for posts list page","Meta description for posts list page"
"Meta keywords for posts list page","Meta keywords for posts list page"
"Meta title for posts list page","Meta title for posts list page"
"Min Chars","Min Chars"
"Monthly Archive","Monthly Archive"
"NOINDEX,FOLLOW","NOINDEX,FOLLOW"
"NOINDEX,NOFOLLOW","NOINDEX,NOFOLLOW"
"Name","Name"
"New","New"
"New Author","New Author"
"New Blog Category","New Blog Category"
"New Child Category","New Child Category"
"New Post","New Post"
"New Root Category","New Root Category"
"New Tag","New Tag"
"New Topic","New Topic"
"No Categories","No Categories"
"No Posts","No Posts"
"No Records found","No Records found"
"No Related Posts","No Related Posts"
"No Tags","No Tags"
"No Topics","No Topics"
"Number of most view posts","Number of most view posts"
"Number of post per page","Number of post per page"
"Number of recent posts","Number of recent posts"
"Number of records","Number of records"
"Number of related post in post view page","Number of related post in post view page"
"Ok","Ok"
"Organize or Website name","Organize or Website name"
"Page","Page"
"Pagination","Pagination"
"Parent Category","Parent Category"
"Please choose an image to upload.","Please choose an image to upload."
"Please correct the data sent.","Please correct the data sent."
"Popular","Popular"
"Position","Position"
"Post","Post"
"Post Content","Post Content"
"Post Information","Post Information"
"Post name","Post name"
"Post to delete was not found.","Post to delete was not found."
"Posted on","Posted on"
"Posted on ","Posted on "
"Posts","Posts"
"Posts has been deleted.","Posts has been deleted."
"Product Post","Product Post"
"Products","Products"
"Publish Date","Publish Date"
"ROOT","ROOT"
"Read More","Read More"
"Read more","Read more"
"Related Posts","Related Posts"
"Reply","Reply"
"Reset","Reset"
"Resize Content Image","Resize Content Image"
"Resize Height","Resize Height"
"Resize Image Height (px)","Resize Image Height (px)"
"Resize Image Width (px)","Resize Image Width (px)"
"Resize Width","Resize Width"
"Reverse time","Reverse time"
"Right","Right"
"Root","Root"
"Route name","Route name"
"SEO","SEO"
"Save Category","Save Category"
"Save Change","Save Change"
"Save Post","Save Post"
"Save Tag","Save Tag"
"Save Topic","Save Topic"
"Save and Continue Edit","Save and Continue Edit"
"Search","Search"
"Search blogs here...","Search blogs here..."
"Select Store Views","Select Store Views"
"Share this post, Hit on social buttons!","Share this post, Hit on social buttons!"
"Short Description","Short Description"
"Show Blog Link in Footer links","Show Blog Link in Footer links"
"Show Blog Link in Top Menu","Show Blog Link in Top Menu"
"Show/Hide related posts tab in product page","Show/Hide related posts tab in product page"
"Sidebar","Sidebar"
"Sidebar Location","Sidebar Location"
"Sitemap","Sitemap"
"Sku","Sku"
"Social","Social"
"Social Sharing","Social Sharing"
"Something went wrong while saving the Author.","Something went wrong while saving the Author."
"Something went wrong while saving the Post.","Something went wrong while saving the Post."
"Something went wrong while saving the Tag.","Something went wrong while saving the Tag."
"Something went wrong while saving the Topic.","Something went wrong while saving the Topic."
"Something wrong when delete Posts.","Something wrong when delete Posts."
"Something wrong when delete Topics.","Something wrong when delete Topics."
"Store Views","Store Views"
"Tag","Tag"
"Tag Information","Tag Information"
"Tag to delete was not found.","Tag to delete was not found."
"Tags","Tags"
"Tags has been deleted.","Tags has been deleted."
"Tags:","Tags:"
"The Author has been saved.","The Author has been saved."
"The Blog Category has been deleted.","The Blog Category has been deleted."
"The Post has been deleted.","The Post has been deleted."
"The Post has been saved.","The Post has been saved."
"The Tag has been deleted.","The Tag has been deleted."
"The Tag has been saved.","The Tag has been saved."
"The Topic has been deleted.","The Topic has been deleted."
"The Topic has been saved.","The Topic has been saved."
"There are no posts at this moment","There are no posts at this moment"
"There was a Blog category move error.","There was a Blog category move error."
"There was a Blog category move error. %1","There was a Blog category move error. %1"
"This Post no longer exists.","This Post no longer exists."
"This Tag no longer exists.","This Tag no longer exists."
"This Topic no longer exists.","This Topic no longer exists."
"This name will displayed into frontend","This name will displayed into frontend"
"This operation can take a long time","This operation can take a long time"
"This store has no post with name: ","This store has no post with name: "
"Time","Time"
"Topic","Topic"
"Topic Information","Topic Information"
"Topic to delete was not found.","Topic to delete was not found."
"Topics","Topics"
"Topics has been deleted.","Topics has been deleted."
"Twitter","Twitter"
"Twitter Link","Twitter Link"
"Type comments here...","Type comments here..."
"Type of Datetime","Type of Datetime"
"Type of comment","Type of comment"
"URL Key","URL Key"
"Url Suffix","Url Suffix"
"Visible Image","Visible Image"
"Warning message","Warning message"
"You moved the Blog category","You moved the Blog category"
"You saved the Blog Category.","You saved the Blog Category."
"start typing to search Blog Category","start typing to search Blog Category"